database,url,link
"Children’s Literature and Culture, 1820s-1920s",https://guides.lib.vt.edu/childrens-lit-culture,"<a href='https://guides.lib.vt.edu/childrens-lit-culture' target = '_blank'>Children’s Literature and Culture, 1820s-1920s</a>"
"China, America and The Pacific: Trade & Cultural Exchange [early 18th-early 20th cent]",https://www-cap-amdigital-co-uk.ezproxy.lib.vt.edu/,"<a href='https://www-cap-amdigital-co-uk.ezproxy.lib.vt.edu/' target = '_blank'>China, America and The Pacific: Trade & Cultural Exchange [early 18th-early 20th cent]</a>"
"China: Culture and Society, c1750-1929",https://www-chinacultureandsociety-amdigital-co-uk.ezproxy.lib.vt.edu/,"<a href='https://www-chinacultureandsociety-amdigital-co-uk.ezproxy.lib.vt.edu/' target = '_blank'>China: Culture and Society, c1750-1929</a>"
"China: Trade, Politics and Culture, 1793-1980",https://www-china-amdigital-co-uk.ezproxy.lib.vt.edu/,"<a href='https://www-china-amdigital-co-uk.ezproxy.lib.vt.edu/' target = '_blank'>China: Trade, Politics and Culture, 1793-1980</a>"
"Church Missionary Society Periodicals, 1804-2009",https://guides.lib.vt.edu/church-missionary-society-periodicals,"<a href='https://guides.lib.vt.edu/church-missionary-society-periodicals' target = '_blank'>Church Missionary Society Periodicals, 1804-2009</a>"
"Colonial America, 1606-1822",https://guides.lib.vt.edu/colonial-america,"<a href='https://guides.lib.vt.edu/colonial-america' target = '_blank'>Colonial America, 1606-1822</a>"
Colonial Carribean 1830-1870,https://www-colonialcaribbean-amdigital-co-uk.ezproxy.lib.vt.edu/?sessionId=&sessionENC=2MKRZgb%2f52W5xCWPdj4YAIYQLHym4kODd%2fiD6jWgtAxAVU85QjC%2fb2t7twFhNZPpgPOee3bslnZDNcp1phPjlegLIve7uwwrWhKAlui34wc%3d&returnURL=https%3a%2f%2fwww.colonialcaribbean.amdigital.co.uk%2f&JWTtoken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0eXAiOiJFeHQiLCJkYXRhIjp7IldlYnNpdGVLZXkiOiJjb2xvbmlhbGNhcmliYmVhbjMiLCJPcmdhbmlzYXRpb25JZCI6IjIyMTY0IiwiT3JnYW5pc2F0aW9uTmFtZSI6IlZpcmdpbmlhIFRlY2giLCJBY2Nlc3NUeXBlIjoiRnVsbCIsIldlYnNpdGVJZCI6IjEyOSIsImZhbSI6IjE2NywyMDIiLCJhYW0iOiJmYWxzZSIsImFzbSI6ImZhbHNlIn0sImV4cCI6MTc0MTU1ODE5OCwib2lkIjoyMjE2NH0.8ni-ccREAMku4jxWeOvCiPbc6vNpbqrKBh7q54I01Jw,<a href='https://www-colonialcaribbean-amdigital-co-uk.ezproxy.lib.vt.edu/?sessionId=&sessionENC=2MKRZgb%2f52W5xCWPdj4YAIYQLHym4kODd%2fiD6jWgtAxAVU85QjC%2fb2t7twFhNZPpgPOee3bslnZDNcp1phPjlegLIve7uwwrWhKAlui34wc%3d&returnURL=https%3a%2f%2fwww.colonialcaribbean.amdigital.co.uk%2f&JWTtoken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0eXAiOiJFeHQiLCJkYXRhIjp7IldlYnNpdGVLZXkiOiJjb2xvbmlhbGNhcmliYmVhbjMiLCJPcmdhbmlzYXRpb25JZCI6IjIyMTY0IiwiT3JnYW5pc2F0aW9uTmFtZSI6IlZpcmdpbmlhIFRlY2giLCJBY2Nlc3NUeXBlIjoiRnVsbCIsIldlYnNpdGVJZCI6IjEyOSIsImZhbSI6IjE2NywyMDIiLCJhYW0iOiJmYWxzZSIsImFzbSI6ImZhbHNlIn0sImV4cCI6MTc0MTU1ODE5OCwib2lkIjoyMjE2NH0.8ni-ccREAMku4jxWeOvCiPbc6vNpbqrKBh7q54I01Jw' target = '_blank'>Colonial Carribean 1830-1870</a>
"Confidential Print [UK]: Africa, 1834-1967",https://www-archivesdirect-amdigital-co-uk.ezproxy.lib.vt.edu/CP_Africa,"<a href='https://www-archivesdirect-amdigital-co-uk.ezproxy.lib.vt.edu/CP_Africa' target = '_blank'>Confidential Print [UK]: Africa, 1834-1967</a>"
"Confidential Print [UK]: Latin America, 1839-1969",https://www-archivesdirect-amdigital-co-uk.ezproxy.lib.vt.edu/CP_LatinAmerica,"<a href='https://www-archivesdirect-amdigital-co-uk.ezproxy.lib.vt.edu/CP_LatinAmerica' target = '_blank'>Confidential Print [UK]: Latin America, 1839-1969</a>"
"Confidential Print [UK]: Middle East, 1839-1970",https://www-archivesdirect-amdigital-co-uk.ezproxy.lib.vt.edu/CP_MiddleEast,"<a href='https://www-archivesdirect-amdigital-co-uk.ezproxy.lib.vt.edu/CP_MiddleEast' target = '_blank'>Confidential Print [UK]: Middle East, 1839-1970</a>"
"Confidential Print [UK]: North America, 1824-1961",https://www-archivesdirect-amdigital-co-uk.ezproxy.lib.vt.edu/CP_NorthAmerica,"<a href='https://www-archivesdirect-amdigital-co-uk.ezproxy.lib.vt.edu/CP_NorthAmerica' target = '_blank'>Confidential Print [UK]: North America, 1824-1961</a>"
Conflict in Indochina 1959-1979,https://www-conflictinindochina-amdigital-co-uk.ezproxy.lib.vt.edu/?sessionId=&sessionENC=okDktvSh38HnsdyIdUKddEpZy0JV5GDuOiPl3%2fUyaSmhkDBTxBGg%2fSIxSEulfjBu%2bVCKnfZQULfQ8j4r29tpaH6Bpd24gb2PfDS7oQeoYoQ%3d&returnURL=https%3a%2f%2fwww.conflictinindochina.amdigital.co.uk%2f&JWTtoken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0eXAiOiJFeHQiLCJkYXRhIjp7IldlYnNpdGVLZXkiOiJ1YXRjb25mbGljdGluaW5kb2NoaW5hIiwiT3JnYW5pc2F0aW9uSWQiOiIyMjE2NCIsIk9yZ2FuaXNhdGlvbk5hbWUiOiJWaXJnaW5pYSBUZWNoIiwiQWNjZXNzVHlwZSI6IkZ1bGwiLCJXZWJzaXRlSWQiOiIxODAiLCJmYW0iOiIyMTYsMjIyIiwiYWFtIjoidHJ1ZSIsImFzbSI6InRydWUifSwiZXhwIjoxNzQxNTU4OTE2LCJvaWQiOjIyMTY0fQ.tcIouNSVuR5sZtanYkC1lrfRy5CRScdvN38MKdHV6ZU,<a href='https://www-conflictinindochina-amdigital-co-uk.ezproxy.lib.vt.edu/?sessionId=&sessionENC=okDktvSh38HnsdyIdUKddEpZy0JV5GDuOiPl3%2fUyaSmhkDBTxBGg%2fSIxSEulfjBu%2bVCKnfZQULfQ8j4r29tpaH6Bpd24gb2PfDS7oQeoYoQ%3d&returnURL=https%3a%2f%2fwww.conflictinindochina.amdigital.co.uk%2f&JWTtoken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0eXAiOiJFeHQiLCJkYXRhIjp7IldlYnNpdGVLZXkiOiJ1YXRjb25mbGljdGluaW5kb2NoaW5hIiwiT3JnYW5pc2F0aW9uSWQiOiIyMjE2NCIsIk9yZ2FuaXNhdGlvbk5hbWUiOiJWaXJnaW5pYSBUZWNoIiwiQWNjZXNzVHlwZSI6IkZ1bGwiLCJXZWJzaXRlSWQiOiIxODAiLCJmYW0iOiIyMTYsMjIyIiwiYWFtIjoidHJ1ZSIsImFzbSI6InRydWUifSwiZXhwIjoxNzQxNTU4OTE2LCJvaWQiOjIyMTY0fQ.tcIouNSVuR5sZtanYkC1lrfRy5CRScdvN38MKdHV6ZU' target = '_blank'>Conflict in Indochina 1959-1979</a>
"Defining Gender, 1450-1910, Online",https://www-gender-amdigital-co-uk.ezproxy.lib.vt.edu/,"<a href='https://www-gender-amdigital-co-uk.ezproxy.lib.vt.edu/' target = '_blank'>Defining Gender, 1450-1910, Online</a>"
Early America Sources 1500-1900,https://www.earlyamericansources.org/,<a href='https://www.earlyamericansources.org/' target = '_blank'>Early America Sources 1500-1900</a>
"Early Modern England: Society, Culture and Everyday Life, 1500-1700",https://guides.lib.vt.edu/early-modern-england,"<a href='https://guides.lib.vt.edu/early-modern-england' target = '_blank'>Early Modern England: Society, Culture and Everyday Life, 1500-1700</a>"
"East India Company [UK], 1599-1947   ",https://guides.lib.vt.edu/east-india-company,"<a href='https://guides.lib.vt.edu/east-india-company' target = '_blank'>East India Company [UK], 1599-1947   </a>"
"Eighteenth Century Drama: Censorship and the Stage, 1737-1824",https://www-eighteenthcenturydrama-amdigital-co-uk.ezproxy.lib.vt.edu/,"<a href='https://www-eighteenthcenturydrama-amdigital-co-uk.ezproxy.lib.vt.edu/' target = '_blank'>Eighteenth Century Drama: Censorship and the Stage, 1737-1824</a>"
"Eighteenth Century Journals, c. 1685-1835.",https://www-18thcjournals-amdigital-co-uk.ezproxy.lib.vt.edu/,"<a href='https://www-18thcjournals-amdigital-co-uk.ezproxy.lib.vt.edu/' target = '_blank'>Eighteenth Century Journals, c. 1685-1835.</a>"
"Empire Online, late 15th-early 21st cent",https://www-empire-amdigital-co-uk.ezproxy.lib.vt.edu/,"<a href='https://www-empire-amdigital-co-uk.ezproxy.lib.vt.edu/' target = '_blank'>Empire Online, late 15th-early 21st cent</a>"
"Ethnomusicology: Global Field Recordings, 1950-1980",https://guides.lib.vt.edu/ethnomusicology-global-field-recordings,"<a href='https://guides.lib.vt.edu/ethnomusicology-global-field-recordings' target = '_blank'>Ethnomusicology: Global Field Recordings, 1950-1980</a>"
"Everyday Life and Women In America, c1800-1920",https://www-everydaylife-amdigital-co-uk.ezproxy.lib.vt.edu/,"<a href='https://www-everydaylife-amdigital-co-uk.ezproxy.lib.vt.edu/' target = '_blank'>Everyday Life and Women In America, c1800-1920</a>"
First World War,https://guides.lib.vt.edu/first-world-war,<a href='https://guides.lib.vt.edu/first-world-war' target = '_blank'>First World War</a>
"Food and Drink in History, 1514-2010",https://guides.lib.vt.edu/food-drink-history,"<a href='https://guides.lib.vt.edu/food-drink-history' target = '_blank'>Food and Drink in History, 1514-2010</a>"
"Foreign Office [UK] Files for China, 1919-1980",https://www-archivesdirect-amdigital-co-uk.ezproxy.lib.vt.edu/FO_China,"<a href='https://www-archivesdirect-amdigital-co-uk.ezproxy.lib.vt.edu/FO_China' target = '_blank'>Foreign Office [UK] Files for China, 1919-1980</a>"
"Foreign Office [UK] Files for India, Pakistan and Afghanistan, 1947-1980",https://guides.lib.vt.edu/fof-india-packistan-afghan,"<a href='https://guides.lib.vt.edu/fof-india-packistan-afghan' target = '_blank'>Foreign Office [UK] Files for India, Pakistan and Afghanistan, 1947-1980</a>"
"Foreign Office [UK] Files for Japan, 1919-1952 ",https://guides.lib.vt.edu/fof-japan,"<a href='https://guides.lib.vt.edu/fof-japan' target = '_blank'>Foreign Office [UK] Files for Japan, 1919-1952 </a>"
"Foreign Office [UK] Files for South East Asia, 1963-1980",http://www.archivesdirect.amdigital.co.uk/FO_SEAsia,"<a href='http://www.archivesdirect.amdigital.co.uk/FO_SEAsia' target = '_blank'>Foreign Office [UK] Files for South East Asia, 1963-1980</a>"
"Foreign Office [UK] Files for the Middle East, 1971-1981",https://guides.lib.vt.edu/fof-middle-east,"<a href='https://guides.lib.vt.edu/fof-middle-east' target = '_blank'>Foreign Office [UK] Files for the Middle East, 1971-1981</a>"
"Frontier Life: Borderland and Colonial Encounters, 1650-1920",https://guides.lib.vt.edu/frontier-life,"<a href='https://guides.lib.vt.edu/frontier-life' target = '_blank'>Frontier Life: Borderland and Colonial Encounters, 1650-1920</a>"
"Gender: Identity and Social Change, 19th-21st cent ",https://guides.lib.vt.edu/gender-identity-social-change,"<a href='https://guides.lib.vt.edu/gender-identity-social-change' target = '_blank'>Gender: Identity and Social Change, 19th-21st cent </a>"
"Global Commodities: Trade, Exploration and Cultural Exchange, 18th-20th cent",https://www-globalcommodities-amdigital-co-uk.ezproxy.lib.vt.edu/,"<a href='https://www-globalcommodities-amdigital-co-uk.ezproxy.lib.vt.edu/' target = '_blank'>Global Commodities: Trade, Exploration and Cultural Exchange, 18th-20th cent</a>"
"India, Raj & Empire, 1615-1947 ",https://guides.lib.vt.edu/india-raj-empire,"<a href='https://guides.lib.vt.edu/india-raj-empire' target = '_blank'>India, Raj & Empire, 1615-1947 </a>"
"J. Walter Thompson: Advertising America, 1900-2000",https://guides.lib.vt.edu/advertising-america,"<a href='https://guides.lib.vt.edu/advertising-america' target = '_blank'>J. Walter Thompson: Advertising America, 1900-2000</a>"
"Jewish Life in America, c 1654-1954",http://www.jewishlife.amdigital.co.uk.ezproxy.lib.vt.edu/,"<a href='http://www.jewishlife.amdigital.co.uk.ezproxy.lib.vt.edu/' target = '_blank'>Jewish Life in America, c 1654-1954</a>"
"Leisure, Travel & Mass Culture: The History of Tourism, 1850-1980",https://guides.lib.vt.edu/leisure-travel-mass-culture,"<a href='https://guides.lib.vt.edu/leisure-travel-mass-culture' target = '_blank'>Leisure, Travel & Mass Culture: The History of Tourism, 1850-1980</a>"
Literary Manuscripts: 17th and 18th Century Poetry [Berg],https://www-literarymanuscriptsberg-amdigital-co-uk.ezproxy.lib.vt.edu/,<a href='https://www-literarymanuscriptsberg-amdigital-co-uk.ezproxy.lib.vt.edu/' target = '_blank'>Literary Manuscripts: 17th and 18th Century Poetry [Berg]</a>
Literary Manuscripts: 17th and 18th Century Poetry [Leeds],https://www-literarymanuscriptsleeds-amdigital-co-uk.ezproxy.lib.vt.edu/,<a href='https://www-literarymanuscriptsleeds-amdigital-co-uk.ezproxy.lib.vt.edu/' target = '_blank'>Literary Manuscripts: 17th and 18th Century Poetry [Leeds]</a>
"Literary Print Culture: The Stationers' Company Archive, 1554-1984 ",https://guides.lib.vt.edu/literary-print-culture,"<a href='https://guides.lib.vt.edu/literary-print-culture' target = '_blank'>Literary Print Culture: The Stationers' Company Archive, 1554-1984 </a>"
"London Low Life: Street culture, Social Reform, and the Victorian Underworld, 19th cent",http://www.londonlowlife.amdigital.co.uk.ezproxy.lib.vt.edu/,"<a href='http://www.londonlowlife.amdigital.co.uk.ezproxy.lib.vt.edu/' target = '_blank'>London Low Life: Street culture, Social Reform, and the Victorian Underworld, 19th cent</a>"
"Macmillan Cabinet Papers, 1957-1963",https://www-archivesdirect-amdigital-co-uk.ezproxy.lib.vt.edu/Macmillan,"<a href='https://www-archivesdirect-amdigital-co-uk.ezproxy.lib.vt.edu/Macmillan' target = '_blank'>Macmillan Cabinet Papers, 1957-1963</a>"
"Market Research & American Business, 1935-1965",https://guides.lib.vt.edu/market-research-american-business,"<a href='https://guides.lib.vt.edu/market-research-american-business' target = '_blank'>Market Research & American Business, 1935-1965</a>"
"Mass Observation Online, 1937 - 1967",https://www-massobservation-amdigital-co-uk.ezproxy.lib.vt.edu/,"<a href='https://www-massobservation-amdigital-co-uk.ezproxy.lib.vt.edu/' target = '_blank'>Mass Observation Online, 1937 - 1967</a>"
"Mass Observation Project, 1980-1990s",https://www-massobservationproject-amdigital-co-uk.ezproxy.lib.vt.edu/,"<a href='https://www-massobservationproject-amdigital-co-uk.ezproxy.lib.vt.edu/' target = '_blank'>Mass Observation Project, 1980-1990s</a>"
"Medical Services and Warfare, 1850-1949",http://www.medicalservicesandwarfare.amdigital.co.uk.ezproxy.lib.vt.edu/,"<a href='http://www.medicalservicesandwarfare.amdigital.co.uk.ezproxy.lib.vt.edu/' target = '_blank'>Medical Services and Warfare, 1850-1949</a>"
"Medieval Family Life, c1400-1490",http://www.medievalfamilylife.amdigital.co.uk.ezproxy.lib.vt.edu/,"<a href='http://www.medievalfamilylife.amdigital.co.uk.ezproxy.lib.vt.edu/' target = '_blank'>Medieval Family Life, c1400-1490</a>"
"Medieval Travel Writing, 13th-16th cent",http://www.medievaltravel.amdigital.co.uk.ezproxy.lib.vt.edu/,"<a href='http://www.medievaltravel.amdigital.co.uk.ezproxy.lib.vt.edu/' target = '_blank'>Medieval Travel Writing, 13th-16th cent</a>"
Meiji Japan 1838-1925,http://www.aap.amdigital.co.uk.ezproxy.lib.vt.edu/default.aspx,<a href='http://www.aap.amdigital.co.uk.ezproxy.lib.vt.edu/default.aspx' target = '_blank'>Meiji Japan 1838-1925</a>
Mexico in History 1500-1920,https://www-mexicoinhistory-amdigital-co-uk.ezproxy.lib.vt.edu/?sessionId=&sessionENC=8BQmrbS3uTTaiDrpwK4K%2fkJiUVZCoBxnu6QVXrhGs6DzobXcs6NGUB98f1PqkZcuH8lHXgg5ZFx0SfOLrdZ81kEXkkHjnoZuss57UBgh6bE%3d&returnURL=https%3a%2f%2fwww.mexicoinhistory.amdigital.co.uk%2f&JWTtoken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0eXAiOiJFeHQiLCJkYXRhIjp7IldlYnNpdGVLZXkiOiJtZXhpY29pbmhpc3RvcnkiLCJPcmdhbmlzYXRpb25JZCI6IjIyMTY0IiwiT3JnYW5pc2F0aW9uTmFtZSI6IlZpcmdpbmlhIFRlY2giLCJBY2Nlc3NUeXBlIjoiRnVsbCIsIldlYnNpdGVJZCI6IjE4NiJ9LCJleHAiOjE3NDE2MjkyNjksIm9pZCI6MjIxNjR9.G-JLzpTEVriiPTChTizfCGJ3MXHLthcQ698tZepdYC4,<a href='https://www-mexicoinhistory-amdigital-co-uk.ezproxy.lib.vt.edu/?sessionId=&sessionENC=8BQmrbS3uTTaiDrpwK4K%2fkJiUVZCoBxnu6QVXrhGs6DzobXcs6NGUB98f1PqkZcuH8lHXgg5ZFx0SfOLrdZ81kEXkkHjnoZuss57UBgh6bE%3d&returnURL=https%3a%2f%2fwww.mexicoinhistory.amdigital.co.uk%2f&JWTtoken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0eXAiOiJFeHQiLCJkYXRhIjp7IldlYnNpdGVLZXkiOiJtZXhpY29pbmhpc3RvcnkiLCJPcmdhbmlzYXRpb25JZCI6IjIyMTY0IiwiT3JnYW5pc2F0aW9uTmFtZSI6IlZpcmdpbmlhIFRlY2giLCJBY2Nlc3NUeXBlIjoiRnVsbCIsIldlYnNpdGVJZCI6IjE4NiJ9LCJleHAiOjE3NDE2MjkyNjksIm9pZCI6MjIxNjR9.G-JLzpTEVriiPTChTizfCGJ3MXHLthcQ698tZepdYC4' target = '_blank'>Mexico in History 1500-1920</a>
"Migration to New Worlds, 1800-1980",https://guides.lib.vt.edu/migration-new-world,"<a href='https://guides.lib.vt.edu/migration-new-world' target = '_blank'>Migration to New Worlds, 1800-1980</a>"
"Nineteenth Century Literary Society: The John Murray Publishing Archive, c. 1768-1900",https://www-nineteenthcenturyliterarysociety-amdigital-co-uk.ezproxy.lib.vt.edu/,"<a href='https://www-nineteenthcenturyliterarysociety-amdigital-co-uk.ezproxy.lib.vt.edu/' target = '_blank'>Nineteenth Century Literary Society: The John Murray Publishing Archive, c. 1768-1900</a>"
"Nixon Years, 1969-1974",https://www-archivesdirect-amdigital-co-uk.ezproxy.lib.vt.edu/Nixon,"<a href='https://www-archivesdirect-amdigital-co-uk.ezproxy.lib.vt.edu/Nixon' target = '_blank'>Nixon Years, 1969-1974</a>"
The Olympic Movement 1896-1992,https://www-theolympicmovement-amdigital-co-uk.ezproxy.lib.vt.edu/?sessionId=&sessionENC=rhdQa6UFsAAWGRjdnn9Bo9dcO6t9%2fdFRx8jQrSLr53UEwSDKTnjk6qO8aWFW50Cox%2fenjrsBheAc3dYnTrDnVDCuyBkVT2iTXrsy22Nci%2fA%3d&returnURL=https%3a%2f%2fwww.theolympicmovement.amdigital.co.uk%2f&JWTtoken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0eXAiOiJFeHQiLCJkYXRhIjp7IldlYnNpdGVLZXkiOiJvbHltcGljbW92ZW1lbnQiLCJPcmdhbmlzYXRpb25JZCI6IjIyMTY0IiwiT3JnYW5pc2F0aW9uTmFtZSI6IlZpcmdpbmlhIFRlY2giLCJBY2Nlc3NUeXBlIjoiRnVsbCIsIldlYnNpdGVJZCI6IjE4NyJ9LCJleHAiOjE3NDE1NTkzNTksIm9pZCI6MjIxNjR9.7B7WMZ57EjiWf1cmzZJhPWaRgb3TQMZbH04StZXotAc,<a href='https://www-theolympicmovement-amdigital-co-uk.ezproxy.lib.vt.edu/?sessionId=&sessionENC=rhdQa6UFsAAWGRjdnn9Bo9dcO6t9%2fdFRx8jQrSLr53UEwSDKTnjk6qO8aWFW50Cox%2fenjrsBheAc3dYnTrDnVDCuyBkVT2iTXrsy22Nci%2fA%3d&returnURL=https%3a%2f%2fwww.theolympicmovement.amdigital.co.uk%2f&JWTtoken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0eXAiOiJFeHQiLCJkYXRhIjp7IldlYnNpdGVLZXkiOiJvbHltcGljbW92ZW1lbnQiLCJPcmdhbmlzYXRpb25JZCI6IjIyMTY0IiwiT3JnYW5pc2F0aW9uTmFtZSI6IlZpcmdpbmlhIFRlY2giLCJBY2Nlc3NUeXBlIjoiRnVsbCIsIldlYnNpdGVJZCI6IjE4NyJ9LCJleHAiOjE3NDE1NTkzNTksIm9pZCI6MjIxNjR9.7B7WMZ57EjiWf1cmzZJhPWaRgb3TQMZbH04StZXotAc' target = '_blank'>The Olympic Movement 1896-1992</a>
"Perdita Manuscripts, 1500-1700",https://www-perditamanuscripts-amdigital-co-uk.ezproxy.lib.vt.edu/,"<a href='https://www-perditamanuscripts-amdigital-co-uk.ezproxy.lib.vt.edu/' target = '_blank'>Perdita Manuscripts, 1500-1700</a>"
"Popular Culture in Britain and America, 1950-1975",http://www.rockandroll.amdigital.co.uk.ezproxy.lib.vt.edu/,"<a href='http://www.rockandroll.amdigital.co.uk.ezproxy.lib.vt.edu/' target = '_blank'>Popular Culture in Britain and America, 1950-1975</a>"
"Popular Medicine in America, 1800-1900 ",https://guides.lib.vt.edu/popular-medicine-america,"<a href='https://guides.lib.vt.edu/popular-medicine-america' target = '_blank'>Popular Medicine in America, 1800-1900 </a>"
"Poverty, Philanthropy and Social Conditions in Victorian Britain, 1800-1900",https://guides.lib.vt.edu/poverty-philanthropy-social-conditions,"<a href='https://guides.lib.vt.edu/poverty-philanthropy-social-conditions' target = '_blank'>Poverty, Philanthropy and Social Conditions in Victorian Britain, 1800-1900</a>"
"Race Relations in America, 1943-1970 ",https://guides.lib.vt.edu/race-relations-america,"<a href='https://guides.lib.vt.edu/race-relations-america' target = '_blank'>Race Relations in America, 1943-1970 </a>"
"Romanticism: Life, Literature and Landscape 18th-20th cent",https://guides.lib.vt.edu/romanticism,"<a href='https://guides.lib.vt.edu/romanticism' target = '_blank'>Romanticism: Life, Literature and Landscape 18th-20th cent</a>"
